Amount,Frequency,Recency
452.84999999999985,26,316
437.59999999999997,18,91
418.09999999999997,21,108
3320.2199999999984,119,37
618.27,27,50
3683.1300000000015,214,18
3002.679999999999,133,9
1032.5800000000006,62,28
2581.0400000000004,65,28
569.5600000000001,29,189
153.12000000000003,12,58
739.1999999999999,3,21
254.17999999999995,16,78
-7.5,3,364
3.339550858072471e-13,202,57
1126.8500000000001,60,77
2057.9900000000007,111,22
1193.32,65,51
643.5900000000001,21,57
3218.979999999998,163,30
315.59999999999997,20,277
2291.1900000000005,105,1
657.25,36,84
355.5300000000002,42,28
177.31,11,21
3214.81,95,15
1339.4099999999999,92,14
13612.069999999998,474,1
180.09999999999997,11,231
305.1,18,275
641.1300000000001,38,105
2614.3199999999997,91,211
6388.3499999999985,307,22
4478.53,230,10
769.6099999999998,43,3
1270.8799999999999,64,9
640.5000000000002,31,56
2140.6299999999997,103,58
1689.18,101,89
5953.25,394,66
671.69,39,32
486.1,22,238
1174.58,53,23
185.9,10,114
1013.26,47,24
3344.6400000000003,24,127
477.9100000000001,31,129
1755.3800000000006,74,33
1346.9700000000003,45,4
3669.9200000000005,128,21
318.05,21,154
603.7099999999999,33,106
314.44,20,2
114.00000000000003,9,334
914.5299999999997,51,321
2209.8500000000004,43,148
601.98,38,10
3982.720000000002,130,16
1152.06,56,10
686.0500000000001,36,18
91.68,5,29
245.10000000000002,13,10
3817.079999999998,232,0
4863.879999999999,38,7
61.75,4,324
-227.44,2,358
620.13,33,57
3743.180000000002,168,6
1607.7300000000002,102,150
2986.1500000000005,94,9
225.9,10,329
610.52,42,4
1919.3100000000002,91,11
1331.3900000000006,45,24
17588.260000000002,167,41
1058.67,56,51
862.81,52,0
13677.59,646,14
12288.219999999998,525,3
8221.09,362,3
2283.6299999999997,105,7
2863.0800000000004,157,27
89.14,7,371
4873.810000000005,171,113
1247.61,72,25
389.00999999999993,16,205
1035.8,32,27
830.9599999999997,41,120
869.6699999999998,37,69
582.1,27,6
939.02,43,20
4867.990000000006,270,7
797.7099999999999,53,79
219.0,12,19
274.69999999999993,22,63
2220.84,90,6
6814.240000000004,348,14
603.42,33,291
2616.320000000001,174,29
9294.099999999993,257,2
1130.5700000000006,79,96
4241.629999999999,142,22
848.5499999999998,38,0
4708.859999999994,259,8
353.85999999999996,21,105
1053.4899999999996,69,3
980.98,56,150
238.25000000000003,19,70
608.0999999999999,42,4
5713.2800000000025,359,2
2628.980000000001,164,31
904.33,57,84
725.0699999999998,69,3
1031.4099999999999,53,4
427.79999999999995,24,370
2609.1000000000004,124,27
3947.7000000000003,141,10
836.3299999999999,46,70
453.0100000000001,26,113
18793.410000000007,277,23
236.2600000000001,12,179
383.95,22,233
110.39999999999999,4,352
779.5699999999998,43,314
234.00000000000003,4,332
155.35,11,371
1013.0400000000001,38,77
427.5999999999999,27,63
546.4299999999997,134,133
9120.39,229,51
4196.010000000001,103,1
29072.100000000413,4642,0
3868.2000000000016,231,3
275.88,15,128
4366.779999999999,53,80
21024.010000000002,230,3
2949.12,65,235
2203.1999999999994,6,249
112.08000000000001,4,86
4227.7000000000035,377,15
2791.590000000001,97,116
1531.4400000000007,95,51
1898.5200000000004,69,7
494.08,18,137
1693.8800000000003,45,316
6989.629999999999,310,3
1143.6000000000001,32,238
1351.4499999999998,12,210
892.4700000000004,55,59
1351.2400000000002,67,16
804.2300000000001,51,19
3868.700000000003,159,20
707.72,30,20
2273.3200000000015,107,4
1603.8699999999997,86,1
574.42,59,8
305.71,15,2
463.65999999999997,20,9
91.85000000000001,4,64
324.9200000000001,21,191
192.60000000000002,2,373
400.54,25,256
545.48,24,334
860.4099999999999,45,52
430.4800000000001,14,18
194.18,17,359
6977.039999999999,8,9
412.5799999999999,26,183
483.65000000000015,28,36
484.36,26,167
514.85,31,260
229.63999999999993,15,44
125.92,2,101
1063.46,47,147
572.2,29,95
166.04,4,280
1517.8799999999999,16,177
942.3399999999999,59,2
92.72,6,213
918.9799999999999,47,70
1759.5,5,74
397.11999999999995,25,59
1468.1199999999997,94,2
430.15,25,5
1018.7100000000003,56,2
253.05,12,321
6748.4000000000015,39,37
215.05,9,261
383.03000000000003,27,31
417.37999999999994,24,144
312.38,18,282
2612.8599999999988,175,58
134.1,12,172
683.1299999999994,123,33
5583.620000000003,316,2
2714.269999999999,116,143
3876.399999999998,439,4
1118.99,34,69
1680.76,108,65
325.9599999999999,52,28
354.09000000000003,27,266
871.5399999999998,91,21
1050.8899999999999,51,30
135.17999999999995,50,96
299.75,20,289
1881.6999999999998,84,107
1289.1500000000003,115,78
38.1,3,372
2162.680000000001,317,7
1106.4000000000003,46,210
504.20000000000005,6,51
147.12,3,137
1548.0699999999993,96,25
559.1199999999999,26,282
3986.2199999999953,551,25
1607.0600000000009,107,185
-14.899999999999999,2,365
380.64000000000004,11,83
599.9699999999998,66,326
374.0,4,281
343.2300000000001,2,142
2218.0200000000004,85,57
1535.7700000000007,154,3
841.6399999999999,49,17
552.57,12,44
298.0,7,275
1463.0399999999995,13,8
703.4700000000001,42,24
309.05000000000007,7,87
1158.2699999999995,72,62
1351.0900000000001,86,67
313.77,7,213
380.46999999999997,82,23
331.0,3,185
188.14,34,30
347.29999999999995,24,41
216.5,4,204
16293.099999999997,125,8
138.68,10,264
509.57999999999976,72,17
2919.809999999999,63,11
246.0,4,58
2128.83,96,39
3075.0400000000013,75,22
1662.3,24,2
2483.6299999999997,50,4
363.65,22,148
2982.350000000001,109,138
594.0,2,127
1301.4399999999998,52,7
164.23000000000002,28,16
16389.740000000016,741,3
405.38,28,160
176.97,29,63
929.9500000000003,31,87
694.0499999999998,45,4
2062.6999999999994,84,34
105.10000000000001,9,121
409.90000000000003,27,77
33462.810000000005,102,21
606.2799999999999,107,23
2156.4499999999994,130,1
1012.9000000000003,63,16
1504.2700000000004,120,14
114.14,9,25
11581.8,47,63
876.29,103,45
683.9000000000001,75,130
-3.75,1,300
604.51,30,35
462.95000000000005,23,287
1407.29,103,143
2053.7,118,15
4143.020000000001,219,30
1843.0,23,1
1042.0700000000002,65,8
1382.8400000000004,80,5
329.84999999999997,17,9
4734.259999999999,183,0
108.07,19,305
3979.0400000000022,244,3
266.39000000000004,16,6
1841.0299999999995,96,7
771.9099999999996,109,88
160.18,10,9
1194.7500000000002,33,2
135.95,5,111
452.23999999999995,151,6
10930.259999999998,308,3
144.8,8,197
738.6,22,211
39.24,9,155
7092.06,24,155
372.21999999999997,20,29
377.2,34,239
97.5,4,18
1215.6200000000001,78,0
545.0,30,73
535.32,92,291
6854.509999999997,68,2
409.50000000000006,13,30
503.76,31,22
414.75999999999993,27,22
902.2200000000001,73,3
200.72,5,77
1197.94,67,21
455.8799999999999,28,195
534.8500000000001,31,106
9797.920000000013,342,3
120.94999999999999,7,317
149.05,6,105
5613.429999999999,409,11
468.95000000000005,29,173
81.57,4,55
178.47,15,322
50.550000000000004,3,371
1311.6200000000008,107,8
4786.990000000001,222,0
3365.4300000000003,124,2
3346.2800000000016,176,52
789.8899999999996,47,72
204.0,1,6
7272.749999999996,459,15
2584.3999999999996,134,3
689.9000000000001,40,63
936.1499999999997,43,0
6912.0,26,113
659.6800000000001,47,22
1247.5,10,30
799.4800000000001,99,10
996.5199999999999,75,38
190.54999999999998,11,356
642.77,37,54
886.6300000000001,30,57
881.07,48,137
908.46,28,79
676.9900000000001,43,8
471.57000000000005,14,253
560.4700000000001,33,290
305.28,18,98
629.31,35,30
3079.1000000000013,196,31
1805.9099999999994,137,13
656.6800000000002,14,63
5684.610000000003,422,8
348.15000000000003,18,211
1201.96,78,63
271.4,8,24
183.4,8,249
307.53000000000003,15,253
248.61,10,71
346.98,11,190
1119.4900000000005,69,12
205.85999999999999,14,372
430.9000000000001,49,23
115.46000000000002,15,81
344.0,2,9
3717.819999999998,470,0
228.8,9,191
177.14999999999998,7,266
919.61,22,129
729.2700000000001,112,0
12432.279999999997,380,0
220.09999999999997,6,3
58.08,6,178
27964.480000000047,1061,0
3595.4800000000005,75,125
303.75,18,3
272.38,29,157
57385.880000000114,1857,2
8689.390000000003,161,8
319.82,24,20
459.83,26,70
7741.47,170,266
1708.8600000000006,30,20
74.4,6,70
5893.319999999993,437,32
28658.880000000012,605,0
207.35999999999999,1,98
101.18999999999998,8,233
6336.290000000001,310,0
243.94,8,39
1098.48,20,2
59.5,2,128
1524.0700000000004,60,43
350.05999999999995,10,372
766.84,50,2
1452.8700000000006,146,30
10510.000000000007,280,0
2205.6300000000006,132,8
485.19000000000005,31,116
984.9099999999996,76,21
1124.9999999999993,82,19
30.599999999999998,1,238
254.7299999999999,53,268
922.3900000000002,55,93
3866.3299999999977,235,89
2056.29,142,4
259.16999999999996,15,77
64.0,2,93
1039.2999999999997,46,22
77.3,3,261
109.80000000000001,7,273
1740.6299999999999,105,72
3096.0,1,196
2545.3800000000006,139,49
3605.0799999999995,705,10
962.3900000000001,63,21
5055.790000000004,174,15
423.71999999999997,46,107
2385.7999999999993,136,84
307.0899999999999,23,18
110.94999999999999,3,332
614.77,7,39
228.91,17,25
712.8000000000001,4,9
3348.4799999999996,347,28
1676.0599999999997,86,13
1250.3700000000003,75,202
486.22,15,5
-611.86,1,143
971.76,85,32
1721.5699999999993,89,48
1201.0600000000004,79,94
1379.7500000000007,122,8
91.8,4,21
112.75,8,312
1644.9899999999996,82,121
1021.4799999999999,42,45
414.69999999999993,42,281
791.3300000000002,65,18
1310.14,133,35
712.88,13,63
116.01000000000002,32,26
426.8099999999999,48,7
353.65000000000003,43,3
2817.0300000000007,314,15
492.8400000000001,72,45
282.45,17,64
5725.470000000003,265,25
121.17999999999999,11,44
3957.7800000000016,94,7
1648.7900000000009,183,14
71.4,1,267
1539.6900000000003,84,39
236.01999999999995,37,336
114.60000000000001,2,10
260.68,29,18
911.9400000000002,63,94
117.88000000000001,29,60
60.7,3,135
1797.78,110,10
3384.0899999999974,229,9
9803.960000000003,120,3
870.09,46,18
869.4599999999999,57,9
250.26000000000002,8,14
1205.8999999999999,150,58
5820.16,329,29
353.47999999999996,22,93
1197.4199999999998,56,9
780.5799999999998,143,8
1518.4300000000003,92,56
333.74,5,267
133.62000000000003,7,121
62.64,5,126
819.29,21,77
847.4100000000001,66,239
163.20000000000002,5,199
2150.8499999999995,109,59
6083.040000000002,34,2
108.21000000000001,16,272
257.7,9,201
358.0,2,80
160.95,10,225
2763.4100000000008,612,3
1357.6000000000015,207,12
605.1200000000001,43,73
101.16999999999973,59,211
727.2700000000001,39,24
680.8300000000002,32,10
329.56,22,261
663.6500000000001,67,95
270.40000000000003,13,111
600.07,58,202
121.74000000000001,27,92
430.5,16,50
1922.1000000000008,143,17
501.12,25,17
465.6799999999999,26,124
711.41,23,91
1030.3999999999999,36,156
390.65999999999997,14,3
0.0,1,13
698.5799999999999,38,11
292.3199999999999,87,61
557.6200000000001,8,60
944.1,9,268
200.29000000000002,11,262
7454.069999999956,1677,0
2107.6600000000008,91,52
3717.6699999999996,202,10
4404.440000000001,224,2
3167.639999999999,447,17
5315.919999999999,320,0
590.0,1,365
178.25999999999988,101,36
276.56000000000006,15,30
138.97999999999996,16,112
590.93,30,63
258.4,8,15
542.73,46,40
126.3,11,63
814.8600000000001,85,121
1047.84,40,17
93.66,7,59
196.15,14,322
2709.1200000000003,187,22
361.10999999999996,42,155
578.9399999999999,31,38
873.7399999999998,54,189
197.95,11,359
87.4,5,136
2089.8500000000004,59,7
360.0,2,0
142.5,5,267
365.2900000000001,22,164
618.0899999999998,81,103
63.75,1,154
300.4199999999999,21,350
2000.8599999999992,81,3
15.0,1,119
1367.6100000000001,57,22
1456.7899999999993,107,6
1083.63,77,8
598.57,26,3
1555.3199999999993,78,21
578.6600000000001,75,1
5815.490000000002,88,36
2140.0699999999993,135,63
640.76,20,0
10664.33999999999,500,4
1491.7000000000003,110,69
567.36,11,71
199.48,25,16
787.85,21,2
7072.799999999994,77,31
675.3,12,81
3617.5699999999983,109,38
1308.48,17,315
740.3999999999999,19,31
1140.9299999999996,53,92
350.9,21,13
3536.819999999998,268,81
795.12,51,76
431.82,24,153
860.1200000000002,54,200
10736.47999999999,134,44
775.8499999999999,42,260
303.93,22,172
2543.720000000002,119,67
377.6000000000001,22,276
341.36,8,69
233.76,14,63
247.31999999999996,16,10
910.7199999999998,43,15
373.94,16,65
389.2800000000001,27,7
743.5300000000003,51,70
674.7,32,121
768.2400000000001,42,79
609.9500000000002,90,256
439.03000000000003,29,268
431.25999999999993,24,58
3085.4899999999984,169,2
992.5000000000002,60,17
2.1316282072803006e-14,20,66
2191.220000000001,132,8
56.160000000000004,1,49
623.4,29,256
263.75000000000006,19,353
721.3200000000003,44,365
378.64,23,89
3312.2500000000005,158,60
772.8999999999997,38,80
1019.7600000000003,53,98
572.5599999999997,97,25
3626.8100000000004,173,20
222.99,15,280
4122.28,155,30
534.5700000000002,35,329
627.1500000000001,36,120
797.96,51,10
544.0799999999999,13,74
59.8,1,203
2312.7999999999997,164,1
307.72,21,184
1325.2899999999997,47,21
1539.1799999999998,39,72
457.3400000000001,26,191
621.2300000000002,39,126
75.0,3,17
252.48999999999998,11,0
572.4509999999999,27,73
27487.409999999985,501,1
988.9100000000001,30,8
213.55000000000004,18,106
1390.5,24,133
712.5000000000001,19,43
640.83,28,4
5845.439999999999,314,11
221.05999999999995,16,63
140.35,10,134
1848.9799999999993,105,39
2601.5500000000006,128,50
1624.2099999999998,78,107
3550.6999999999975,159,0
582.6,29,18
218.46999999999994,74,9
1006.8000000000001,67,10
648.6899999999998,54,18
1269.0999999999995,46,66
534.24,10,73
3794.49,103,4
196.88999999999996,12,1
3408.0599999999995,167,13
283.71,54,254
296.64000000000004,13,91
1104.2300000000002,62,22
3465.6700000000023,199,16
291.88,19,23
2043.7200000000003,71,26
2916.45,444,25
590.0,2,258
356.98,17,165
1007.3499999999997,53,24
1737.8199999999997,65,17
9537.919999999998,394,6
183.44,17,28
1445.0000000000002,27,38
143.25,10,182
674.6800000000002,41,57
297.95000000000005,18,99
1083.71,99,10
5656.750000000002,306,1
165.0,10,98
2531.579999999998,260,0
417.53999999999996,22,60
229.58999999999997,64,235
1431.7800000000009,86,190
1092.7699999999998,61,178
1441.529999999999,81,37
291.0,16,197
1776.809999999999,112,45
184.64,11,231
140.34000000000003,10,65
313.79999999999995,8,240
454.24,23,232
1122.4099999999999,69,77
575.4000000000001,34,57
8910.609999999999,427,16
449.52,14,104
1215.82,86,51
1269.8400000000006,50,135
618.63,8,274
316.26,18,311
1990.1199999999994,52,7
617.93,36,10
321.04999999999995,20,282
1146.96,45,17
1136.7700000000002,67,22
1310.4699999999998,53,242
292.0,18,16
216.84999999999997,17,70
295.93,22,63
4282.879999999999,227,67
452.82000000000005,29,311
2479.159999999999,162,2
110.97,12,243
979.7200000000001,44,8
1785.1599999999983,117,0
251.20999999999998,15,260
205.09999999999997,10,126
152.20000000000002,4,73
891.1200000000002,59,72
1389.4100000000003,44,20
2109.0699999999997,143,59
659.4399999999998,38,85
110.8,9,49
3487.749999999999,95,58
1093.6500000000003,436,0
125.80000000000001,5,29
3755.3800000000006,177,32
680.1800000000001,27,40
628.78,6,14
2263.76,224,33
307.76,15,78
483.8000000000001,22,204
210.30999999999983,66,33
270.79000000000013,76,182
5613.080000000015,342,1
3448.2899999999986,179,0
1280.85,25,42
605.8400000000001,38,85
291.4099999999999,87,39
626.9899999999999,98,11
682.41,124,95
916.1199999999999,52,25
91.80000000000001,4,318
3539.530000000001,121,65
4149.2800000000025,136,73
584.0600000000001,34,27
605.0599999999998,175,5
174.37000000000003,33,6
141.86,14,215
1799.3299999999988,82,81
777.5300000000001,49,83
647.7400000000006,85,143
240.22000000000006,38,18
874.7099999999997,176,40
192.85000000000005,44,172
373.74999999999994,85,16
239.49000000000004,27,242
2092.32,341,12
1384.25,33,205
294.4,26,49
732.0699999999997,46,22
6703.3,130,9
1658.2999999999988,85,24
467.03999999999996,23,14
117.99999999999999,10,308
781.0300000000002,53,155
142.40000000000003,24,306
347.0,11,31
2445.119999999998,180,15
379.65000000000003,21,14
1976.1199999999992,89,10
1117.1300000000003,58,64
247.95999999999995,16,35
1990.2800000000009,129,107
396.96999999999997,26,52
697.04,166,5
167.4200000000001,41,46
5030.5999999999985,264,0
219.51999999999998,19,311
693.3200000000002,99,44
428.88999999999993,23,64
164.34,27,25
280.53999999999996,43,28
678.0099999999996,98,39
1115.4300000000005,228,11
1158.2000000000003,76,88
1610.460000000001,201,23
399.9900000000001,24,312
544.18,44,39
177.34000000000003,13,173
213.85,19,116
672.4400000000002,86,30
257.22999999999996,19,252
1624.0200000000002,94,58
7792.36,59,22
1995.6799999999998,80,4
3021.77,12,99
2117.02,147,24
1575.1600000000003,188,32
1071.0300000000002,62,67
941.6199999999999,64,36
810.4999999999998,101,51
122.64000000000001,8,15
1033.3400000000001,40,73
354.7999999999999,66,215
519.44,28,30
2597.5200000000013,148,8
252.1,5,119
1670.22,80,9
346.6000000000001,23,256
1809.34,98,16
94.2,6,34
1095.08,63,45
2707.329999999999,166,42
932.9700000000004,56,113
379.65000000000003,49,164
382.13999999999993,16,10
2421.470000000002,112,9
1550.8500000000008,108,196
879.08,58,85
189.47,13,178
84.65000000000002,12,59
305.0199999999998,87,148
6216.069999999984,501,2
218.55,9,50
349.70000000000016,25,74
-71.45999999999998,16,300
396.9199999999999,65,18
486.82000000000005,25,150
232.60000000000005,16,151
2202.3099999999995,216,0
827.83,57,17
59.5,3,186
64.23000000000002,31,285
3119.4400000000014,39,2
72.0,8,182
910.0,6,62
172.25,9,58
1466.8700000000006,55,24
-32.0,4,324
62653.10000000003,585,3
2504.1299999999987,90,30
151.3,12,38
308.58,14,154
2265.119999999999,197,25
99.5,1,317
2295.3099999999986,135,4
711.8600000000001,28,7
330.78999999999996,20,302
806.4100000000004,48,266
296.87999999999994,51,270
6249.110000000003,346,3
180.48000000000002,8,31
252.06000000000003,13,218
228.83999999999997,10,246
1053.9399999999996,108,280
138.28,21,268
1432.2600000000002,103,31
306.55,12,245
1041.68,60,14
799.8999999999999,43,116
524.14,28,35
2369.1600000000008,86,119
199.85000000000002,6,216
1809.8100000000002,118,49
1079.6600000000003,42,38
333.4800000000001,20,28
1016.1399999999999,63,36
752.5999999999998,43,135
610.5899999999999,38,218
491.86,33,27
2766.179999999997,208,24
724.0,194,4
339.59999999999997,30,199
216.9,3,17
350.75,23,240
666.33,35,71
3102.420000000001,323,16
1340.1499999999996,42,2
1156.36,72,94
291.53999999999996,26,150
79.6,1,373
948.2499999999998,28,95
1647.2599999999998,24,53
296.24999999999994,9,287
1186.2800000000002,76,123
741.26,35,287
282.6,12,151
2154.680000000001,343,3
5145.119999999995,143,1
3190.550000000001,117,11
659.41,25,32
286.78999999999996,57,53
1070.65,70,49
4.263256414560601e-14,14,203
1689.4599999999998,17,62
1521.7600000000002,208,70
16945.71000000001,399,1
2771.869999999999,143,1
2631.700000000001,120,63
1132.13,177,33
344.99999999999994,22,81
25748.349999999984,219,0
178.7,9,102
360.01,57,6
127.84000000000002,17,250
911.9999999999992,115,12
2462.7899999999995,31,9
230.4,7,366
309.04,31,75
348.79999999999995,45,3
1047.68,17,42
195.54999999999995,13,65
36351.41999999996,439,0
688.8600000000002,39,116
558.3199999999997,33,309
324.79999999999995,23,66
3906.2700000000013,66,137
277.07000000000005,17,254
2635.7900000000004,137,30
924.5999999999999,13,51
256.38,10,63
112.6,7,366
1747.66,76,5
155.05,12,304
899.5099999999998,36,28
591.75,14,183
538.9999999999999,36,41
1353.4099999999996,71,39
1562.1200000000001,58,55
4014.9099999999985,177,21
555.04,33,23
382.9799999999999,24,28
1140.35,36,301
385.64,59,144
632.0000000000001,96,5
957.6600000000001,40,18
1698.9399999999998,46,32
174.65,12,157
412.0499999999998,93,57
209.49000000000004,15,21
-102.0,1,358
2202.99,74,15
40.949999999999996,4,17
384.7999999999999,29,158
834.57,55,24
271.24000000000007,19,211
691.7299999999999,174,5
85.0,1,252
3385.619999999999,206,58
361.62,20,10
312.98,9,64
847.6100000000004,58,24
1255.0,5,91
1537.95,101,51
1586.8099999999995,94,87
2651.46,81,95
1056.94,24,8
8025.0199999999995,114,8
363.4,17,168
216.16999999999996,11,56
201.16,28,325
1240.0000000000005,77,0
2187.3100000000013,142,17
299.56,22,244
501.56,30,57
145.67,7,73
1015.2900000000002,61,30
3192.54,33,6
3104.9500000000035,307,122
2751.250000000001,118,1
6389.800000000004,338,22
381.70000000000005,24,119
540.45,18,357
1786.7900000000004,104,53
122.69999999999999,7,63
117.24000000000001,3,85
1281.53,36,54
3219.7700000000004,165,20
16989.519999999993,180,3
1131.28,66,2
2538.749999999999,155,0
781.3000000000002,60,6
506.8000000000001,28,188
243.56000000000003,16,70
349.54999999999995,19,203
605.63,40,119
416.9,15,92
1860.8599999999992,114,0
632.97,27,26
821.1,21,297
535.9699999999999,30,21
2588.1199999999994,119,20
311.15999999999997,17,49
155.93,12,325
388.52000000000004,19,15
740.9499999999997,43,182
2867.2,149,71
332.63999999999993,26,36
2347.0499999999984,126,79
2580.909999999999,148,56
613.9499999999999,34,3
272.04,18,49
1212.8400000000001,30,49
350.1600000000001,33,52
172.24999999999997,7,351
351.13000000000005,20,53
1682.0800000000004,137,1
616.6499999999999,45,35
223.85000000000002,11,22
348.99,21,74
464.56999999999994,27,10
802.8499999999999,10,168
337.3399999999999,17,57
1230.9300000000003,59,85
307.4,16,294
608.7899999999998,23,108
922.0999999999997,31,263
361.28,27,170
158.85,9,168
71.66,7,34
556.7499999999999,46,22
839.1400000000002,49,16
4912.41,47,21
561.57,11,78
90.6,5,64
101.99999999999999,3,360
2427.3199999999974,160,2
728.5600000000001,36,10
674.4499999999998,39,175
3246.091,138,210
3515.6800000000003,20,6
378.5899999999999,30,1
322.96,33,153
1026.4200000000003,152,4
-102.45,5,371
598.1999999999999,92,78
230.22,12,20
169.55,11,21
664.54,35,307
80.7,2,145
8986.69,633,6
2702.2199999999993,158,8
190.25000000000009,15,70
264.7,11,286
413.59,28,48
2503.2299999999996,340,30
357.9800000000001,10,206
196.79,15,14
869.8700000000001,54,72
200.14000000000001,11,59
1861.11,115,38
2590.46,112,29
488.03000000000003,17,26
7024.530000000005,353,3
320.46000000000004,13,16
4098.800000000001,239,19
1266.0799999999997,41,65
311.3,16,212
850.6299999999999,86,11
76.8,5,29
3409.6600000000003,125,31
2313.140000000001,155,3
1383.4899999999998,87,14
3865.2600000000034,212,9
633.71,16,205
2030.33,40,45
529.73,47,133
4582.639999999999,171,42
2874.7200000000007,84,9
962.1899999999999,30,115
685.9299999999998,44,197
328.8,11,277
473.02,34,109
505.18000000000006,39,76
917.34,20,52
4328.46,162,153
1398.9600000000005,68,46
642.8000000000001,39,16
631.9000000000001,22,154
440.0,28,224
584.0699999999998,31,6
327.7,16,121
104.82000000000002,6,60
467.65999999999997,15,62
2360.0899999999997,243,17
14634.639999999992,258,6
2929.840000000001,152,1
512.02,92,21
1428.0200000000002,66,28
626.6499999999999,38,284
147.20000000000005,28,175
1554.4799999999989,93,77
152.2,6,32
3542.1899999999996,241,40
141.41,21,265
652.8199999999993,209,26
1659.75,6,108
154.98999999999998,14,283
1290.0099999999998,34,8
375.1299999999999,88,276
5639.149999999996,505,16
746.3600000000001,54,31
15477.33999999999,215,0
225.35999999999993,56,19
260.25,4,123
92.46,6,64
725.6400000000001,10,105
